HOST:	CB8
GUESTS:	G0	G1	G10	G2	G3	G4	G5	G6	G7	G8	G9
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	CB8-G0	CB8-G1	CB8-G10	CB8-G2	CB8-G3	CB8-G4	CB8-G5	CB8-G6	CB8-G7	CB8-G8	CB8-G9
1	wtm6p-974-CB8-submission-15.txt	US/PMF/MT/MD_15		1.68636363636364	0.490909090909099	0.59850351502424	0.780225948865914	-1.4823953040148	0.569027288144812	-7.75	-6.48	-7.69	-9.42	-3.64	-4.19	-11.10	-8.47	-9.17	-11.09	-10.00
2	3z83m-974-CB8-NHLBI-1.txt	HREM/BAR/RESP/Force-Matching/TIP3P		4.24181818181818	0.527272727272653	0.664620552804275	1.72965592424258	3.50200386015285	0.348986124182006	-8.05	-1.43	-11.76	-10.25	-10.82	-5.42	-16.29	-11.73	-13.34	-19.67	-13.87
3	d4twv-974-CB8-nobufferModelD-3.txt	SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D		1.50636363636364	0.0909090909090042	0.358185951358522	0.294259618826539	-5.74034830126649	0.347886025728369	-7.39	-4.70	-8.29	-7.82	-9.97	-9.21	-9.30	-8.22	-7.58	-10.57	-7.51
4	6jsye-974-CB8-NHLBI-2.txt	DDM/Force-Matching/FEP/HREM/MBAR		5.06363636363636	0.636363636363548	0.648145977374497	2.12308952261115	7.23256825651644	0.319731147182135	2.98	-2.01	-11.98	-10.66	-10.60	-12.42	-16.32	-10.95	-12.73	-19.84	-13.72
5	d7xde-974-CB8-NHLBI-2.txt	DDM/Force-Matching/FEP/HREM/MBAR		5.06363636363636	0.636363636363548	0.648145977374497	2.12308952261115	7.23256825651644	0.319731147182135	2.98	-2.01	-11.98	-10.66	-10.60	-12.42	-16.32	-10.95	-12.73	-19.84	-13.72
6	cco6p-974-CB8-submission-13.txt	US/PMF/MT/MD_13		2.68272727272727	0.309090909090737	0.493130163111406	0.690269446463242	-0.355235970274525	0.307195359864543	-6.98	-5.72	-5.73	-5.87	0.23	-4.48	-9.65	-5.50	-6.91	-8.41	-9.20
7	ubz3m-974-CB8-submission-5.txt	US/PMF/MT/MD_5		2.72	0.309090909090825	0.620788888844017	0.668135569319548	-0.0908917278634291	0.306112205152418	-5.09	-4.57	-6.15	-7.57	-2.94	-3.71	-7.71	-4.23	-4.34	-9.57	-7.37
8	cekua-974-CB8-submission-8.txt	US/PMF/MT/MD_8		3.23818181818182	0.309090909090824	0.581000045164174	0.685439694540561	0.573856030940365	0.248358833118311	-5.72	-4.56	-2.28	-6.07	-2.49	-3.12	-6.33	-5.05	-4.16	-9.17	-8.60
9	8wns3-974-CB8-submission-10.txt	US/PMF/MT/MD_10		3.02090909090909	0.272727272727185	0.476166412011806	0.616554035730942	-0.315969135540739	0.235297283283925	-6.80	-3.95	-2.22	-7.69	-2.59	-2.93	-6.48	-5.54	-4.60	-9.09	-9.03
10	tqhg4-974-cb8-ponder-1.txt	AMOEBA/BAR/Tinker		2.70454545454545	0.0545454545453809	0.357359279317432	0.656916768811895	-5.1704604227087	0.222347971151177	-8.51	-8.88	-8.85	-15.76	-14.89	-6.76	-11.98	-7.63	-9.37	-16.81	-8.64
11	xdmpa-974-CB8-submission-19.txt	US/PMF/MT/MD_19		2.27818181818182	0.127272727272553	0.274401885308447	0.317090433782773	-7.39515311676901	0.203953519200715	-11.66	-7.91	-10.30	-10.34	-6.13	-13.18	-12.53	-7.45	-9.23	-11.81	-10.35
12	j37ec-974-CB8-bufferModelD-6.txt	SOMD/AM1BCC-GAFF-TIP3P/MBAR/D		2.02090909090909	0.0909090909090246	0.353752907332979	0.244321448328975	-4.56696096901722	0.197036847497919	-6.09	-3.92	-7.11	-6.71	-7.48	-7.06	-7.87	-6.27	-5.03	-8.77	-6.69
13	j6oi0-974-CB8-submission-20.txt	US/PMF/MT/MD_20		4.16181818181818	0.490909090908985	0.547621973200068	0.779350030914748	2.2929129436661	0.190267675018919	-3.78	-3.45	-3.97	-4.33	1.70	-2.16	-8.07	-3.80	-4.98	-6.84	-7.71
