HOST:	OA
GUESTS:	G0	G1	G2	G3	G4	G5	G6	G7
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	OA-G0	OA-G1	OA-G2	OA-G3	OA-G4	OA-G5	OA-G6	OA-G7
1	finzb-973-OA-submission-19.txt	US/PMF/MT/MD_19		0.40375	0.571428571428786	0.964081718271091	1.1502299448213	1.11721960234258	0.935067211677875	-5.87	-4.46	-8.45	-4.45	-7.51	-4.49	-4.21	-5.43
2	ourdock.txt	autodock4_default	Docking	0.406401357790341	0.642857142857147	0.947063226438887	0.738614686345164	-1.53982660268049	0.918487862359006	-6.26644674619305	-5.01087586495511	-7.64229489946455	-4.82644674619305	-7.03349519028518	-5.10209934766372	-5.18168739668484	-5.80766165723121
3	mknyd-973-OA-submission-2.txt	US/PMF/MT/MD_2		0.50875	0.678571428571423	0.939161770869503	1.14835169264379	1.10623652273453	0.907122537056582	-5.66	-5.13	-8.61	-4.12	-7.48	-4.12	-4.49	-5.26
4	ttmwo-973-OA-nobufferModelD-3.txt	SOMD/AM1BCC-GAFF-TIP3P-NOBUFFER/MBAR/D		0.795	0.571428571428566	0.86844872666093	1.24435415936124	1.32136094686484	0.813169678133066	-6.14	-5.80	-9.23	-3.58	-8.26	-4.58	-4.79	-5.26
5	uui3y-973-OA-submission-20.txt	US/PMF/MT/MD_20		0.8	0.678571428571433	0.910305811978186	1.19775657690556	0.386381583455282	0.7693663931816	-6.32	-5.19	-10.48	-5.70	-7.14	-6.32	-4.85	-6.94
6	iyo2o-973-OA-submission-22.txt	US/PMF/MT/MD_22		0.67375	0.714285714285538	0.911456527494742	0.66092913024026	-2.55646691092008	0.760513506682032	-6.26	-5.63	-8.55	-5.92	-6.71	-6.25	-5.45	-6.60
7	8jxan-973-OA-bufferModelD-6.txt	SOMD/AM1BCC-GAFF-TIP3P/MBAR/D		1.08625	0.499999999999996	0.847918223270934	1.33244862012955	1.26524330620752	0.707523839384985	-6.45	-6.08	-9.49	-4.62	-9.92	-4.31	-5.91	-5.43
8	o3aiv-973-OA-submission-26.txt	US/PMF/MT/MD_26		1.055	0.142857142857164	0.807826975373824	0.967255534999581	-1.06647325908995	0.66082792462598	-5.20	-6.01	-9.80	-5.53	-8.41	-6.92	-5.93	-5.98
9	w2q3q-973-OA-mm-1.txt	FEP-MM		1.35875	0.78571428571428	0.858205874480642	1.08959786862714	1.75517353679723	0.607088358576983	-4.58	-3.84	-6.38	-3.14	-7.62	-2.46	-4.02	-4.89
10	ftout-973-OA-submission-21.txt	US/PMF/MT/MD_21		1.49125	0.678571428571433	0.91011821397945	1.1620959843291	-0.54339373163561	0.571825941054147	-7.05	-5.95	-11.09	-6.45	-7.84	-7.05	-5.63	-7.65
