HOST:	OA
GUESTS:	g1	g2	g3	g4	g5	g6	g7	g8
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	OA-g1	OA-g2	OA-g3	OA-g4	OA-g5	OA-g6	OA-g7	OA-g8
1	GDCC-ponder.txt	AMOEBA/DDM/BAR	Alchemical	0.68125	0.678571428571429	0.885262639498256	1.15490355344807	0.974113046628022	0.854852076133939	-5.00	-6.01	-8.70	-7.25	-3.95	-4.20	-7.71	-8.01
2	GDCC-dserillon-1.txt.txt	xtb-GNF/Machine Learning/CORINA MD	Mixed	0.5375	0.749999999999998	0.798528639813647	0.816773504273504	-1.02757211538462	0.794183986395623	-4.95	-7.79	-8.26	-7.33	-4.50	-4.92	-5.81	-6.12
3	ourdock.txt	autodock4_default	Docking	1.0037950232155	0.250000000000001	0.585683284774309	0.516193044446621	-3.63886417703114	0.525016696582874	-4.94263158368461	-6.19590564593481	-7.15087586495511	-6.71184298874325	-7.31087586495511	-6.34074040408671	-7.43	-9.23
4	GDCC_MMPBSA_RESP_NoEntropy_Linear.txt	RESP/GAFF/MMPBSA-Cor	Alchemical	1.27875	0.321428571428572	0.512777213800272	0.379262527807048	-4.96482926106428	0.350585792172301	-6.18	-5.90	-8.13	-8.65	-6.64	-7.78	-7.33	-8.36
5	GDCC-ponder-3.txt	AMOEBA/DDM/BAR_3	Alchemical	1.8675	0.321428571428571	0.573165177578104	0.883246985130547	-2.44579787934668	0.347975875410101	-4.98	-6.26	-8.70	-7.25	-7.62	-7.83	-9.76	-12.00
6	GDCC_Nuno_QZ_RANKED.txt	B2PLYPD3/SMD_QZ-R 	Quantum	2.2225	0.0714285714285725	0.305688439800143	0.722214904577918	-2.15504643045311	0.216491475901765	0.4	-7.3	-7.2	-7.2	-5.5	-8.9	-11.0	-7.2
7	GDCC_submission.txt	FSDAM/GAFF2/OPC3	Alchemical 	3.985	0.357142857142858	0.402114155001253	1.37161924833157	3.65292413066384	0.20145978811469	-8.1	-9.6	-9.6	-10.2	+1.5	-1.6	-1.0	-1.8
8	GDCC_MMPBSA_RESP_Nmode.txt	RESP/GAFF/MMPBSA/Nmode	Alchemical	3.9775	0.535714285714282	0.640719269594864	0.723700386371618	2.22437895152792	0.125453971161494	-1.41	-1.49	-2.79	-3.80	0.28	-3.21	-1.81	-4.71
9	GDCC_Nuno_TZ.txt	B2PLYPD3/SMD_TZ  	Quantum	5.085	0.178571428571429	0.32863674906414	1.89534305116497	3.02595165964171	0.0987461251267163	4.2	-25.2	-8.0	-7.9	-6.3	-9.4	-11.6	-7.8
10	GDCC_Nuno_QZ_NON_RANKED.txt	B2PLYPD3/SMD_QZ-NR 	Quantum	5.135	0.214285714285713	0.310855030318911	1.91078328064629	3.42391991570072	0.0909233673262953	4.2	-26.8	-7.2	-7.2	-5.5	-8.9	-11.0	-7.2
11	GDCC_Nuno_DZ.txt	B2PLYPD3/SMD_DZ  	Quantum	5.0475	0.0714285714285729	0.237051659024381	0.819649338484954	-4.84932494731296	0.0780933536636807	0.4	-7.3	-11.4	-11.3	-10.6	-13.3	-15.6	-11.3
12	GDCC_MMPBSA_RESP_NoEntropy.txt	RESP/GAFF/MMPBSA	Alchemical	9.31375	0.321428571428571	0.514621426401567	0.847474680950707	-10.2815231493678	0.0311034127879777	-13.01	-12.38	-17.34	-18.49	-14.03	-16.56	-15.57	-17.89
13	GDCC_MMPBSA_AM1-BCC_NoEntropy.txt	AM1-BCC/GAFF/MMPBSA	Alchemical	10.7725	0.250000000000045	0.414720770262316	1.04239843109706	-10.5034819546891	0.0277039233384114	-12.55	-11.66	-18.34	-18.55	-15.84	-18.36	-19.94	-21.70
14	GDCC-ponder-2.txt	AMOEBA/DDM/BAR_2	Alchemical	1.7575	0.107142857143028	0.043840652554618	0.0285168598524763	-4.41906052423604	0.0177913522249463	-5.02	-5.76	-5.01	-3.18	-3.95	-4.20	-5.67	-4.01
15	GDCC_MMGBSA_RESP_NoEntropy.txt	RESP/GAFF/MMGBSA	Alchemical	11.3525	0.0357142857142925	0.19331646217213	0.416293466807162	-15.0561179531086	0.0102681182949895	-14.26	-12.90	-17.09	-18.81	-17.15	-18.91	-21.55	-20.91
